store_cd,store_nm,address,x,y,sale_avg,x_y_list,parking_200m,parking_500m,parking_1000m,academy_200m,academy_500m,academy_1000m,accommodation_200m,accommodation_500m,accommodation_1000m,bike_count_200m,bike_count_500m,bike_count_1000m,bike_station_200m,bike_station_500m,bike_station_1000m,school_500m,mart_1000m,trdar_cd,apt_avg_ae,apt_avg_price,tot_flpop_co,cnsmr_popltn_co,tot_repop_co,total_subpas,sub_400m,sub_500m,have_sub,con_20m,con_30m,con_40m,total_worker,active_pop,close_cr_dis,have_cr,cr_in_50m,cr_in_100m,cr_in_500m,close_st_dis,have_st,st_in_50m,st_in_500m,st_in_1000m,passenger_sum_50m,passenger_sum_500m,trdar_se_a,trdar_se_r,trdar_se_u,trdar_se_d,school_yn,mart_yn,starbucks_100,starbucks_500,land_use_intensity,official_land_value,building_counts
52840,시그니처2호점,"서울특별시 중구 소월로 31층(남창동, 롯데손해보험빌딩)",126.9765934703,37.5569451050749,7516191.666666667,"[126.9765934703, 37.5569451050749]",21,62,207,0,4,66,8,55,198,7461.0,41791.0,210648.0,30.0,98.0,331.0,1,0,1000048,84.0,213297572.0,214310,47355.93357913007,1479,7820.410256410256,0,1,0,0,0,0,3166.0,213,11,1,3,10,129,22,1,2,62,166,131126.0,20313143.0,0,0,0,1,1,0,0.0,7.0,336.18,2926870.89,103.0
53044,상계1호점,서울특별시 노원구 한글비석로24길 49(상계동),127.07286453767,37.6628590986958,3200379.0,"[127.07286453767, 37.6628590986958]",0,10,30,24,63,246,1,5,9,0.0,86930.0,260491.0,0.0,47.0,197.0,2,0,1000387,53.0,110672912.0,882965,298522.21420683985,2311,17502.700854700855,2,3,1,1,1,1,438.0,2157,56,1,1,3,89,49,1,1,50,140,10470.0,4874424.0,1,0,0,0,1,0,0.0,0.0,128.96,2878370.57,105.0
53046,자양금모래점,"서울특별시 광진구 뚝섬로56길 22제1층 제101호(자양동, 드림팰리스6차)",127.082425891196,37.530408464451,1879852.111111111,"[127.082425891196, 37.530408464451]",1,11,60,31,67,177,0,1,10,0.0,122359.0,274203.0,0.0,80.0,159.0,3,1,1000147,54.0,205955422.0,546966,268550.10434706,3485,33684.70037745673,1,3,1,1,1,1,180.0,2684,29,1,4,6,60,62,0,0,22,76,0.0,3853880.0,1,0,0,0,1,1,0.0,0.0,110.54,3835063.66,180.0
53980,경희궁롯데캐슬점,"서울특별시 종로구 통일로 230 (무악동)근린생활시설 123호(지하1층,경희궁롯데캐슬)",126.958604295236,37.574374261303,3853533.0,"[126.958604295236, 37.574374261303]",4,12,26,11,54,106,0,1,12,21224.0,55897.0,92698.0,36.0,94.0,153.0,3,0,1000025,43.0,99746000.0,557305,88222.90537382,886,32934.05128205128,1,1,1,1,1,1,948.0,248,48,1,2,4,47,109,0,0,65,144,0.0,5415392.0,1,0,0,0,1,0,0.0,1.0,109.75,4400398.9,35.0
58018,발산신화점,"서울특별시 강서구 강서로 3601층 113,114호(내발산동, 솔레드림)",126.83326640676,37.5543737621718,7280476.777777778,"[126.83326640676, 37.5543737621718]",1,16,99,9,127,358,0,1,7,10365.0,109256.0,682535.0,20.0,87.0,392.0,7,0,1000561,59.0,192780456.0,1040291,355993.73486410524,4280,15490.088319088318,1,2,1,0,0,0,13.0,18,100,0,0,0,58,312,0,0,26,151,0.0,2860340.0,1,0,0,0,1,0,0.0,1.0,115.09,1316030.94,2.0
58085,용산해방촌점,서울특별시 용산구 신흥로 571층(용산동2가),126.982945593811,37.5419195197565,3589589.111111111,"[126.982945593811, 37.5419195197565]",0,4,27,0,5,43,0,3,34,0.0,3485.0,90053.0,0.0,20.0,179.0,5,0,1001169,67.0,371583333.0,50433,174085.50709595493,496,40817.15384615384,0,0,0,0,0,0,3807.0,327,450,0,0,0,9,187,0,0,40,135,0.0,2913804.0,0,0,0,1,1,0,0.0,0.0,10.95,3445943.98,81.0
58090,응암중앙점,서울특별시 은평구 가좌로7길 61층(응암동),126.919058598652,37.5860350630026,2766641.888888889,"[126.919058598652, 37.5860350630026]",1,7,32,16,67,209,1,12,15,0.0,49016.0,331703.0,0.0,49.0,254.0,4,0,1000389,48.0,107592090.0,914914,42403.04242461002,3479,13100.74358974359,1,1,1,1,1,1,329.0,1707,5,1,2,2,77,67,0,0,61,237,0.0,5127069.0,1,0,0,0,1,0,0.0,0.0,115.81,2397686.28,239.0
58101,역삼래미안점,"서울특별시 강남구 언주로 314제1층 102호(역삼동, 강남프라자)",127.046476269108,37.4958917878081,3295357.0,"[127.046476269108, 37.4958917878081]",0,12,161,12,57,631,0,1,49,6330.0,29087.0,147341.0,20.0,80.0,321.0,2,1,1000904,53.0,269155073.0,1402256,96705.01246420002,5822,9531.871794871797,0,0,0,1,1,1,7206.0,1651,29,1,2,4,76,58,0,0,44,125,0.0,4802599.0,1,0,0,0,1,1,0.0,1.0,246.11,9193742.36,67.0
58187,역삼은탑점,"서울특별시 강남구 테헤란로14길 5지상1층(역삼동, 삼흥빌딩)",127.033217749748,37.499089066355,6543019.25,"[127.033217749748, 37.499089066355]",19,113,346,30,309,718,5,20,106,12224.0,37697.0,187607.0,20.0,50.0,268.0,0,1,1001073,53.0,281223209.0,1743996,206268.06005813988,5614,22237.25641025641,0,0,0,1,1,2,22546.0,359,39,1,1,3,47,69,0,0,17,151,0.0,5821867.0,0,0,0,1,0,1,1.0,7.0,371.57,25108080.61,52.0
59007,E공덕S오일본사점,"서울특별시 마포구 백범로 192B1층 일부(공덕동, S-OIL빌딩)",126.951619722191,37.5432324266947,147111.11111111112,"[126.951619722191, 37.5432324266947]",17,52,101,6,66,306,5,10,20,104844.0,111133.0,314395.0,60.0,70.0,230.0,2,3,1001167,119.0,766050177.0,295097,206874.99528260017,484,16529.358974358976,4,4,1,1,1,1,2420.0,1178,37,1,1,11,141,26,1,2,76,271,205342.0,9914144.0,0,0,0,1,1,1,1.0,5.0,275.3,11754284.18,108.0
